customer_key,full_name,first_name,last_name,email_address,gender,education,occupation,yearly_income,total_children,country,state,city
11071,Linda Serrano,Linda,Serrano,linda31@adventure-works.com,F,High School,Skilled Manual,80000,2,Australia,Queensland,Hawthorne
11072,Casey Luo,Casey,Luo,casey6@adventure-works.com,F,High School,Skilled Manual,80000,2,Australia,New South Wales,St. Leonards
11073,Amy Ye,Amy,Ye,amy16@adventure-works.com,F,High School,Skilled Manual,70000,2,Australia,New South Wales,Springwood
11074,Levi Arun,Levi,Arun,levi6@adventure-works.com,M,High School,Skilled Manual,70000,2,Australia,South Australia,Cloverdale
11075,Felicia Jimenez,Felicia,Jimenez,felicia4@adventure-works.com,F,High School,Professional,80000,2,Australia,Victoria,Bendigo
11076,Blake Anderson,Blake,Anderson,blake9@adventure-works.com,M,High School,Professional,80000,2,Australia,New South Wales,Wollongong
11077,Leah Ye,Leah,Ye,leah7@adventure-works.com,F,High School,Professional,80000,2,Australia,Victoria,Melton
11078,Gina Martin,Gina,Martin,gina1@adventure-works.com,F,High School,Professional,40000,0,Canada,British Columbia,Cliffside
11079,Donald Gonzalez,Donald,Gonzalez,donald20@adventure-works.com,M,Graduate Degree,Management,160000,0,Australia,Victoria,Geelong
11080,Damien Chander,Damien,Chander,damien32@adventure-works.com,M,Graduate Degree,Management,170000,0,Australia,South Australia,Perth
11081,Savannah Baker,Savannah,Baker,savannah39@adventure-works.com,F,Bachelors,Management,120000,2,United States,California,Concord
11082,Angela Butler,Angela,Butler,angela17@adventure-works.com,F,Graduate Degree,Management,130000,0,United States,California,Fremont
11083,Alyssa Cox,Alyssa,Cox,alyssa37@adventure-works.com,F,Graduate Degree,Management,130000,0,United States,California,Lincoln Acres
11084,Lucas Phillips,Lucas,Phillips,lucas7@adventure-works.com,M,Partial High School,Skilled Manual,80000,2,United States,Oregon,Lebanon
11085,Emily Johnson,Emily,Johnson,emily1@adventure-works.com,F,High School,Professional,60000,2,United States,California,Newport Beach
11086,Ryan Brown,Ryan,Brown,ryan43@adventure-works.com,M,Partial College,Professional,70000,2,United States,California,Santa Monica
11087,Tamara Liang,Tamara,Liang,tamara6@adventure-works.com,F,Partial College,Professional,70000,3,United States,California,Chula Vista
11088,Hunter Davis,Hunter,Davis,hunter64@adventure-works.com,M,Bachelors,Management,80000,2,United States,California,San Diego
11089,Abigail Price,Abigail,Price,abigail25@adventure-works.com,F,Bachelors,Management,80000,2,United States,California,Long Beach
11090,Trevor Bryant,Trevor,Bryant,trevor18@adventure-works.com,M,Partial College,Professional,90000,2,United States,California,Los Angeles
11091,Dalton Perez,Dalton,Perez,dalton37@adventure-works.com,M,Partial College,Professional,90000,2,Canada,British Columbia,Haney
11092,Cheryl Diaz,Cheryl,Diaz,cheryl4@adventure-works.com,F,Bachelors,Professional,90000,2,Australia,Queensland,East Brisbane
11093,Aimee He,Aimee,He,aimee13@adventure-works.com,F,Graduate Degree,Management,100000,0,Australia,New South Wales,Wollongong
11094,Cedric Ma,Cedric,Ma,cedric15@adventure-works.com,M,Partial College,Skilled Manual,70000,1,Australia,Victoria,Cranbourne
11095,Chad Kumar,Chad,Kumar,chad9@adventure-works.com,M,Partial College,Skilled Manual,70000,1,Australia,New South Wales,Port Macquarie
11096,Andrés Anand,Andrés,Anand,andrés18@adventure-works.com,M,Bachelors,Professional,60000,1,Australia,New South Wales,North Sydney
11097,Edwin Nara,Edwin,Nara,edwin39@adventure-works.com,M,Partial College,Skilled Manual,60000,1,Australia,Victoria,Warrnambool
11098,Mallory Rubio,Mallory,Rubio,mallory7@adventure-works.com,F,Partial College,Skilled Manual,60000,1,Australia,New South Wales,Rhodes
11099,Adam Ross,Adam,Ross,adam2@adventure-works.com,M,Bachelors,Professional,60000,1,Australia,New South Wales,Port Macquarie
11100,Latasha Navarro,Latasha,Navarro,latasha10@adventure-works.com,F,Partial College,Skilled Manual,60000,1,Australia,South Australia,Cloverdale
11101,Abby Sai,Abby,Sai,abby4@adventure-works.com,F,Bachelors,Professional,70000,0,Australia,Victoria,Cranbourne
11102,Julia Nelson,Julia,Nelson,julia7@adventure-works.com,F,Bachelors,Professional,80000,5,Australia,New South Wales,Sydney
11103,Cassie Chande,Cassie,Chande,cassie13@adventure-works.com,F,Bachelors,Professional,70000,0,Australia,New South Wales,Darlinghurst
11104,Edgar Sara,Edgar,Sara,edgar11@adventure-works.com,M,Bachelors,Professional,70000,0,Australia,Queensland,Gold Coast
11105,Candace Fernandez,Candace,Fernandez,candace15@adventure-works.com,F,Bachelors,Professional,70000,0,Australia,New South Wales,Matraville
11106,Jessie Liu,Jessie,Liu,jessie9@adventure-works.com,M,Bachelors,Professional,70000,0,Australia,Victoria,Warrnambool
11107,Bianca Lin,Bianca,Lin,bianca7@adventure-works.com,F,Bachelors,Professional,90000,1,Australia,New South Wales,St. Leonards
11108,Kari Alvarez,Kari,Alvarez,kari25@adventure-works.com,F,Bachelors,Professional,70000,0,Australia,New South Wales,Port Macquarie
11109,Ruben Kapoor,Ruben,Kapoor,ruben1@adventure-works.com,M,Bachelors,Professional,70000,0,Australia,Victoria,South Melbourne
11110,Curtis Yang,Curtis,Yang,curtis5@adventure-works.com,M,Partial College,Skilled Manual,60000,1,Australia,New South Wales,Darlinghurst
11111,Meredith Gutierrez,Meredith,Gutierrez,meredith34@adventure-works.com,F,Partial College,Skilled Manual,60000,1,Australia,Victoria,Geelong
11112,Crystal Wang,Crystal,Wang,crystal3@adventure-works.com,F,Partial College,Skilled Manual,60000,1,Australia,Queensland,Hervey Bay
11113,Micheal Blanco,Micheal,Blanco,micheal11@adventure-works.com,M,Bachelors,Professional,70000,5,Australia,South Australia,Perth
11114,Leslie Moreno,Leslie,Moreno,leslie7@adventure-works.com,F,Partial College,Skilled Manual,70000,5,Australia,New South Wales,Rhodes
11115,Alvin Cai,Alvin,Cai,alvin20@adventure-works.com,M,Partial College,Skilled Manual,70000,5,Australia,New South Wales,St. Leonards
11116,Clinton Carlson,Clinton,Carlson,clinton14@adventure-works.com,M,Partial College,Skilled Manual,70000,5,Australia,New South Wales,Sydney
11117,April Deng,April,Deng,april1@adventure-works.com,F,Partial College,Skilled Manual,70000,5,Australia,New South Wales,Matraville
11118,Alvin Zeng,Alvin,Zeng,alvin21@adventure-works.com,M,Partial College,Skilled Manual,80000,1,Australia,New South Wales,Lavender Bay
11119,Evan James,Evan,James,evan8@adventure-works.com,M,Partial College,Clerical,30000,2,Australia,New South Wales,Port Macquarie
11120,Beth Jiménez,Beth,Jiménez,beth8@adventure-works.com,F,Bachelors,Management,40000,2,Australia,New South Wales,Sydney
11121,Orlando Suarez,Orlando,Suarez,orlando19@adventure-works.com,M,Partial College,Skilled Manual,70000,5,Australia,New South Wales,Newcastle
11122,Byron Vazquez,Byron,Vazquez,byron9@adventure-works.com,M,Partial College,Skilled Manual,70000,5,Australia,New South Wales,North Sydney
11123,Philip Alvarez,Philip,Alvarez,philip4@adventure-works.com,M,Partial College,Skilled Manual,70000,5,Australia,Victoria,Sunbury
11124,Ross Jordan,Ross,Jordan,ross1@adventure-works.com,M,Partial College,Skilled Manual,80000,1,Australia,Victoria,Warrnambool
11125,Dana Navarro,Dana,Navarro,dana2@adventure-works.com,F,Partial College,Skilled Manual,70000,1,Australia,Victoria,Seaford
11126,Shaun Carson,Shaun,Carson,shaun16@adventure-works.com,M,High School,Skilled Manual,10000,2,Australia,New South Wales,North Ryde
11127,Jan Edwards,Jan,Edwards,jan11@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,California,San Gabriel
11128,Samantha Long,Samantha,Long,samantha35@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,Washington,Renton
11129,Julia Wright,Julia,Wright,julia17@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,Washington,Sedro Woolley
11130,Caroline Russell,Caroline,Russell,caroline21@adventure-works.com,F,High School,Skilled Manual,30000,0,United States,Oregon,Lebanon
11131,Amanda Rivera,Amanda,Rivera,amanda7@adventure-works.com,F,High School,Skilled Manual,30000,0,Canada,British Columbia,Haney
11132,Melissa Richardson,Melissa,Richardson,melissa31@adventure-works.com,F,High School,Skilled Manual,30000,0,Canada,British Columbia,Langford
11133,Angela Griffin,Angela,Griffin,angela23@adventure-works.com,F,Partial High School,Clerical,30000,0,United States,Oregon,Lake Oswego
11134,Larry Townsend,Larry,Townsend,larry14@adventure-works.com,M,High School,Skilled Manual,10000,5,Australia,South Australia,Perth
11135,Marcus Harris,Marcus,Harris,marcus14@adventure-works.com,M,Partial High School,Clerical,30000,0,United States,California,Burlingame
11136,Brianna Morgan,Brianna,Morgan,brianna30@adventure-works.com,F,High School,Skilled Manual,40000,0,Canada,British Columbia,Metchosin
11137,Jasmine Taylor,Jasmine,Taylor,jasmine7@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,Washington,Spokane
11138,Lauren Davis,Lauren,Davis,lauren23@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,California,Glendale
11139,Tanya Moreno,Tanya,Moreno,tanya2@adventure-works.com,F,Partial College,Clerical,30000,2,Australia,South Australia,Cloverdale
11140,Javier Alvarez,Javier,Alvarez,javier1@adventure-works.com,M,Partial High School,Clerical,30000,0,United States,California,Burbank
11141,Nicole Ramirez,Nicole,Ramirez,nicole42@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,California,Daly City
11142,Eduardo Patterson,Eduardo,Patterson,eduardo55@adventure-works.com,M,High School,Skilled Manual,40000,0,Canada,British Columbia,Langford
11143,Jonathan Henderson,Jonathan,Henderson,jonathan4@adventure-works.com,M,High School,Skilled Manual,40000,0,United States,California,Lakewood
11144,Edward Hernandez,Edward,Hernandez,edward48@adventure-works.com,M,High School,Skilled Manual,40000,0,United States,Washington,Ballard
11145,Jasmine Coleman,Jasmine,Coleman,jasmine46@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,Oregon,Beaverton
11146,Karla Goel,Karla,Goel,karla20@adventure-works.com,F,Bachelors,Management,40000,2,Australia,New South Wales,Matraville
11147,Ernest Wu,Ernest,Wu,ernest6@adventure-works.com,M,Graduate Degree,Management,60000,2,Australia,Victoria,Warrnambool
11148,Ross Vazquez,Ross,Vazquez,ross32@adventure-works.com,M,Bachelors,Management,40000,2,Australia,Queensland,East Brisbane
11149,Theodore Gill,Theodore,Gill,theodore14@adventure-works.com,M,Bachelors,Management,40000,2,Australia,Queensland,Hervey Bay
11150,Russell Shen,Russell,Shen,russell6@adventure-works.com,M,Bachelors,Management,40000,2,Australia,Victoria,Sunbury
11151,Melinda Gill,Melinda,Gill,melinda9@adventure-works.com,F,Graduate Degree,Management,60000,2,Australia,New South Wales,Sydney
11152,James Williams,James,Williams,james77@adventure-works.com,M,High School,Skilled Manual,40000,0,United States,Washington,Puyallup
11153,Angela James,Angela,James,angela34@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,Washington,Renton
11154,Megan Walker,Megan,Walker,megan25@adventure-works.com,F,Partial College,Skilled Manual,40000,0,United States,Oregon,Woodburn
11155,Hunter Robinson,Hunter,Robinson,hunter50@adventure-works.com,M,Partial College,Skilled Manual,40000,0,United States,California,Burbank
11156,Maria Roberts,Maria,Roberts,maria47@adventure-works.com,F,Partial College,Skilled Manual,40000,0,United States,California,Lakewood
11157,Hannah Long,Hannah,Long,hannah32@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,Washington,Tacoma
11158,Jason Wright,Jason,Wright,jason46@adventure-works.com,M,High School,Skilled Manual,40000,0,United States,California,San Gabriel
11159,Brianna Hughes,Brianna,Hughes,brianna57@adventure-works.com,F,High School,Skilled Manual,40000,0,United States,California,Woodland Hills
11160,Maurice Tang,Maurice,Tang,maurice4@adventure-works.com,M,Partial College,Skilled Manual,40000,0,United States,California,Concord
11161,Emily Wood,Emily,Wood,emily27@adventure-works.com,F,Partial College,Skilled Manual,40000,0,United States,California,Concord
11162,Chase Cox,Chase,Cox,chase10@adventure-works.com,M,Partial College,Skilled Manual,40000,0,United States,California,La Jolla
11163,Gabriel Wang,Gabriel,Wang,gabriel21@adventure-works.com,M,Partial College,Skilled Manual,40000,0,United States,California,Spring Valley
11164,Devin Brooks,Devin,Brooks,devin63@adventure-works.com,M,Partial College,Skilled Manual,40000,0,United States,California,Torrance
11165,Jocelyn Alexander,Jocelyn,Alexander,jocelyn18@adventure-works.com,F,Partial College,Skilled Manual,60000,0,United States,California,Oakland
11166,Ashley Martinez,Ashley,Martinez,ashley18@adventure-works.com,F,Partial College,Skilled Manual,70000,0,United States,Washington,Olympia
11167,Jasmine Barnes,Jasmine,Barnes,jasmine43@adventure-works.com,F,Bachelors,Management,80000,0,United States,Washington,Issaquah
11168,David Rodriguez,David,Rodriguez,david83@adventure-works.com,M,Bachelors,Management,80000,0,United States,California,Oakland
11169,Bryce Richardson,Bryce,Richardson,bryce8@adventure-works.com,M,Bachelors,Management,90000,4,United States,California,Coronado
11170,Carol Howard,Carol,Howard,carol5@adventure-works.com,F,Bachelors,Management,90000,4,United States,Washington,Burien
11171,Jonathan Hill,Jonathan,Hill,jonathan43@adventure-works.com,M,Bachelors,Management,100000,1,United States,California,Woodland Hills
11172,Gabrielle Adams,Gabrielle,Adams,gabrielle58@adventure-works.com,F,Bachelors,Management,100000,1,United States,Washington,Lynnwood
11173,Sarah Thomas,Sarah,Thomas,sarah13@adventure-works.com,F,Graduate Degree,Management,110000,0,United States,Oregon,W. Linn
11174,Nicholas Robinson,Nicholas,Robinson,nicholas19@adventure-works.com,M,Graduate Degree,Management,110000,0,United States,California,Los Angeles
11175,Luis Wang,Luis,Wang,luis24@adventure-works.com,M,Partial College,Skilled Manual,70000,0,United States,California,Beverly Hills
11176,Mason Roberts,Mason,Roberts,mason25@adventure-works.com,M,Bachelors,Management,90000,4,Canada,British Columbia,Haney
11177,Jose Flores,Jose,Flores,jose6@adventure-works.com,M,Graduate Degree,Management,110000,2,United States,California,San Diego
11178,Nathan Johnson,Nathan,Johnson,nathan55@adventure-works.com,M,Graduate Degree,Management,100000,2,United States,California,Lakewood
11179,Molly Rodriguez,Molly,Rodriguez,molly18@adventure-works.com,F,Graduate Degree,Management,120000,2,United States,California,Beverly Hills
11180,April Anand,April,Anand,april18@adventure-works.com,F,Bachelors,Management,160000,1,United States,California,Chula Vista
11181,Devin Martin,Devin,Martin,devin13@adventure-works.com,M,Graduate Degree,Management,170000,2,United States,California,Los Angeles
11182,Stephanie Torres,Stephanie,Torres,stephanie19@adventure-works.com,F,Bachelors,Management,70000,4,United States,Washington,Sedro Woolley
11183,Jasmine Lee,Jasmine,Lee,jasmine19@adventure-works.com,F,Bachelors,Management,70000,4,United States,California,Santa Cruz
11184,Meghan Hernandez,Meghan,Hernandez,meghan3@adventure-works.com,F,Bachelors,Management,70000,4,United States,California,Concord
11185,Ashley Henderson,Ashley,Henderson,ashley31@adventure-works.com,F,Bachelors,Management,70000,4,Canada,British Columbia,Metchosin
11186,Sarah Price,Sarah,Price,sarah25@adventure-works.com,F,Bachelors,Management,70000,4,United States,California,Palo Alto
11187,Jennifer Cooper,Jennifer,Cooper,jennifer63@adventure-works.com,F,Graduate Degree,Management,60000,4,United States,Washington,Burien
11188,Catherine Morris,Catherine,Morris,catherine16@adventure-works.com,F,Graduate Degree,Management,60000,4,United States,California,San Gabriel
11189,Lawrence Blanco,Lawrence,Blanco,lawrence14@adventure-works.com,M,Graduate Degree,Management,60000,4,United States,Washington,Bellingham
11190,Carson Bryant,Carson,Bryant,carson17@adventure-works.com,M,Bachelors,Management,70000,5,United States,California,Beverly Hills
11191,Kristi Perez,Kristi,Perez,kristi39@adventure-works.com,F,Bachelors,Management,70000,5,United States,California,Colma
11192,James Brown,James,Brown,james79@adventure-works.com,M,Bachelors,Management,60000,4,United States,Washington,Seattle
11193,Ian Gray,Ian,Gray,ian72@adventure-works.com,M,Bachelors,Management,60000,4,United States,Oregon,Woodburn
11194,Jacqueline Price,Jacqueline,Price,jacqueline0@adventure-works.com,F,Bachelors,Management,60000,4,United States,California,Palo Alto
11195,Megan Henderson,Megan,Henderson,megan55@adventure-works.com,F,Bachelors,Management,60000,5,United States,Washington,Renton
11196,Alfredo Romero,Alfredo,Romero,alfredo10@adventure-works.com,M,Bachelors,Management,60000,5,United States,Oregon,Beaverton
11197,Andrea Morris,Andrea,Morris,andrea18@adventure-works.com,F,Bachelors,Management,70000,3,United States,Washington,Seattle
11198,Brooke Sanders,Brooke,Sanders,brooke3@adventure-works.com,F,Bachelors,Management,70000,4,United States,California,Santa Cruz
11199,Jacqueline Bennett,Jacqueline,Bennett,jacqueline1@adventure-works.com,F,Bachelors,Management,70000,4,United States,California,Burlingame
11200,Jason Griffin,Jason,Griffin,jason18@adventure-works.com,M,Bachelors,Management,70000,4,Canada,British Columbia,Victoria
11201,Amanda Foster,Amanda,Foster,amanda37@adventure-works.com,F,Bachelors,Management,70000,4,United States,California,Santa Monica
11202,Alexia Price,Alexia,Price,alexia0@adventure-works.com,F,Bachelors,Management,80000,5,United States,California,Lakewood
11203,Luis Diaz,Luis,Diaz,luis21@adventure-works.com,M,High School,Professional,40000,2,Canada,British Columbia,Port Hammond
11204,Destiny Rivera,Destiny,Rivera,destiny33@adventure-works.com,F,High School,Professional,40000,2,United States,Oregon,Beaverton
11205,Abby Fernandez,Abby,Fernandez,abby13@adventure-works.com,F,High School,Professional,40000,2,United States,Washington,Burien
11206,Blake Flores,Blake,Flores,blake60@adventure-works.com,M,Partial College,Professional,60000,2,United States,Washington,Lynnwood
11207,Danielle Cox,Danielle,Cox,danielle12@adventure-works.com,F,Partial College,Professional,60000,2,United States,Washington,Renton
11208,Maria Reed,Maria,Reed,maria4@adventure-works.com,F,Bachelors,Management,60000,2,United States,California,Glendale
11209,Allison Evans,Allison,Evans,allison21@adventure-works.com,F,Bachelors,Management,60000,2,United States,California,Lincoln Acres
11210,Edward Wood,Edward,Wood,edward50@adventure-works.com,M,Partial College,Professional,70000,4,United States,California,West Covina
11211,Samantha Russell,Samantha,Russell,samantha42@adventure-works.com,F,High School,Professional,40000,2,Canada,British Columbia,Haney
11212,Chloe Campbell,Chloe,Campbell,chloe4@adventure-works.com,F,High School,Professional,40000,2,Canada,British Columbia,Metchosin
11213,Stephanie Murphy,Stephanie,Murphy,stephanie11@adventure-works.com,F,Partial College,Professional,60000,2,United States,Washington,Edmonds
